Catégorie : Toutes catégories

Mois,flu: (États-Unis),chest pain: (États-Unis),dyspnea: (États-Unis),arthralgia: (États-Unis),fainting: (États-Unis)
2007-01,8,1,< 1,< 1,1
2007-02,8,1,< 1,< 1,< 1
2007-03,6,1,< 1,< 1,< 1
2007-04,4,1,< 1,< 1,< 1
2007-05,3,1,< 1,< 1,< 1
2007-06,2,1,< 1,< 1,1
2007-07,2,1,< 1,< 1,< 1
2007-08,2,1,< 1,< 1,< 1
2007-09,4,1,< 1,< 1,< 1
2007-10,13,1,< 1,< 1,1
2007-11,10,1,< 1,< 1,1
2007-12,6,1,< 1,< 1,< 1
2008-01,7,1,< 1,< 1,< 1
2008-02,14,2,< 1,< 1,1
2008-03,8,1,< 1,< 1,< 1
2008-04,4,1,< 1,< 1,< 1
2008-05,3,1,< 1,< 1,< 1
2008-06,2,1,< 1,< 1,< 1
2008-07,2,1,< 1,< 1,< 1
2008-08,2,1,< 1,< 1,< 1
2008-09,4,1,< 1,< 1,1
2008-10,13,1,< 1,< 1,< 1
2008-11,12,1,< 1,< 1,< 1
2008-12,7,1,< 1,< 1,< 1
2009-01,6,1,< 1,< 1,< 1
2009-02,8,1,< 1,< 1,< 1
2009-03,6,1,< 1,< 1,< 1
2009-04,100,1,< 1,< 1,1
2009-05,77,1,< 1,< 1,< 1
2009-06,20,1,< 1,< 1,< 1
2009-07,15,2,< 1,< 1,< 1
2009-08,23,1,< 1,< 1,< 1
2009-09,53,1,< 1,< 1,< 1
2009-10,87,2,< 1,< 1,1
2009-11,48,2,< 1,< 1,1
2009-12,17,2,< 1,< 1,< 1
2010-01,9,2,< 1,< 1,< 1
2010-02,6,2,< 1,< 1,< 1
2010-03,5,2,< 1,< 1,< 1
2010-04,3,1,< 1,< 1,< 1
2010-05,3,1,< 1,< 1,< 1
2010-06,2,1,< 1,< 1,< 1
2010-07,2,2,< 1,< 1,< 1
2010-08,3,2,< 1,< 1,< 1
2010-09,7,2,< 1,< 1,< 1
2010-10,11,2,< 1,< 1,1
2010-11,9,2,< 1,< 1,1
2010-12,8,2,< 1,< 1,< 1
2011-01,10,2,< 1,< 1,< 1
2011-02,11,2,< 1,< 1,1
2011-03,6,2,< 1,< 1,1
2011-04,4,2,< 1,< 1,1
2011-05,3,2,< 1,< 1,1
2011-06,3,2,< 1,< 1,< 1
2011-07,2,2,< 1,< 1,< 1
2011-08,3,2,< 1,< 1,1
2011-09,8,2,< 1,< 1,< 1
2011-10,11,2,< 1,< 1,< 1
2011-11,8,2,< 1,< 1,1
2011-12,7,2,< 1,< 1,< 1
2012-01,7,3,< 1,< 1,< 1
2012-02,8,3,< 1,< 1,1
2012-03,7,2,< 1,< 1,< 1
2012-04,4,2,< 1,< 1,1
2012-05,4,2,< 1,< 1,1
2012-06,3,2,< 1,< 1,< 1
2012-07,3,2,< 1,< 1,< 1
2012-08,4,2,< 1,< 1,< 1
2012-09,8,3,< 1,< 1,< 1
2012-10,12,2,< 1,< 1,< 1
2012-11,10,2,< 1,< 1,< 1
2012-12,16,2,< 1,< 1,< 1
2013-01,43,3,< 1,< 1,1
2013-02,12,3,< 1,< 1,1
2013-03,8,2,< 1,< 1,1
2013-04,7,2,< 1,< 1,1
2013-05,4,2,< 1,< 1,< 1
2013-06,3,2,< 1,< 1,< 1
2013-07,3,3,< 1,< 1,1
2013-08,3,2,< 1,< 1,1
2013-09,8,2,< 1,< 1,< 1
2013-10,13,2,< 1,< 1,1
2013-11,10,3,< 1,< 1,< 1
2013-12,14,3,< 1,< 1,1
2014-01,25,3,< 1,< 1,< 1
2014-02,11,3,< 1,< 1,< 1
2014-03,7,3,< 1,< 1,1
2014-04,6,3,< 1,< 1,1
2014-05,4,3,< 1,< 1,< 1
2014-06,3,3,< 1,< 1,< 1
2014-07,3,3,< 1,< 1,1
2014-08,4,3,< 1,< 1,1
2014-09,9,3,< 1,< 1,1
2014-10,17,3,< 1,< 1,< 1
2014-11,11,2,< 1,< 1,< 1
2014-12,21,3,< 1,< 1,< 1
2015-01,20,3,< 1,< 1,< 1
2015-02,12,3,< 1,< 1,1
2015-03,9,3,< 1,< 1,1
2015-04,8,3,< 1,< 1,1
2015-05,5,3,< 1,< 1,< 1
2015-06,4,3,< 1,< 1,1
2015-07,3,3,< 1,< 1,1
2015-08,4,3,< 1,< 1,1
2015-09,8,3,1,< 1,1
2015-10,14,3,< 1,< 1,< 1
2015-11,10,3,< 1,< 1,< 1
2015-12,9,3,< 1,< 1,< 1
2016-01,9,3,< 1,< 1,< 1
2016-02,11,3,< 1,< 1,1
2016-03,12,3,< 1,< 1,< 1
2016-04,9,3,< 1,< 1,< 1
2016-05,7,3,< 1,< 1,< 1
2016-06,4,3,< 1,< 1,< 1
2016-07,3,3,< 1,< 1,< 1
2016-08,4,3,< 1,< 1,< 1
2016-09,9,3,< 1,< 1,1
2016-10,14,3,< 1,< 1,< 1
2016-11,10,3,< 1,< 1,< 1
2016-12,11,3,< 1,< 1,< 1
2017-01,15,4,< 1,< 1,< 1
2017-02,19,4,< 1,< 1,1
2017-03,12,3,< 1,< 1,1
2017-04,8,3,< 1,< 1,1
2017-05,5,3,< 1,< 1,1
2017-06,4,3,< 1,< 1,1
2017-07,4,3,< 1,< 1,1
2017-08,5,3,< 1,< 1,1
2017-09,10,3,< 1,< 1,< 1
2017-10,14,3,< 1,< 1,1
2017-11,13,4,< 1,< 1,1
2017-12,22,4,< 1,< 1,1
2018-01,63,4,< 1,< 1,1
2018-02,59,4,< 1,< 1,1
2018-03,15,4,< 1,< 1,1
2018-04,9,4,< 1,< 1,1
2018-05,5,4,< 1,< 1,1
2018-06,4,4,< 1,< 1,1
2018-07,4,4,< 1,< 1,1
2018-08,5,3,< 1,< 1,1
2018-09,12,4,< 1,< 1,1
2018-10,22,4,< 1,< 1,1
2018-11,14,4,< 1,< 1,1
2018-12,17,4,< 1,< 1,1
2019-01,22,4,< 1,< 1,1
2019-02,26,4,< 1,< 1,1
2019-03,18,4,< 1,< 1,1
2019-04,9,4,< 1,< 1,1
2019-05,5,4,< 1,< 1,1
2019-06,4,4,< 1,< 1,1
2019-07,4,4,< 1,< 1,1
2019-08,5,4,< 1,< 1,1
2019-09,12,4,< 1,< 1,1
2019-10,22,4,1,< 1,1
2019-11,17,4,< 1,< 1,1
2019-12,25,4,< 1,< 1,< 1
2020-01,35,4,< 1,< 1,1
2020-02,45,4,1,< 1,1
2020-03,89,6,1,< 1,< 1
2020-04,43,5,1,< 1,< 1
2020-05,20,4,< 1,< 1,1
2020-06,11,4,< 1,< 1,1
2020-07,16,4,< 1,< 1,1
2020-08,16,4,< 1,< 1,< 1
2020-09,23,4,1,< 1,< 1
2020-10,29,4,1,< 1,1
2020-11,19,4,< 1,< 1,< 1
2020-12,18,4,< 1,< 1,1
2021-01,12,4,< 1,< 1,< 1
2021-02,9,4,1,< 1,1
2021-03,7,4,1,< 1,1
2021-04,7,4,< 1,< 1,1
2021-05,6,4,< 1,< 1,1
2021-06,7,4,< 1,< 1,< 1
2021-07,6,4,< 1,< 1,1
2021-08,11,4,< 1,< 1,< 1
2021-09,17,4,1,< 1,< 1
2021-10,20,4,1,< 1,< 1
2021-11,17,4,< 1,< 1,< 1
2021-12,20,4,< 1,< 1,< 1
2022-01,17,5,< 1,< 1,< 1
2022-02,8,4,1,< 1,1
2022-03,9,4,1,< 1,1
2022-04,11,4,1,< 1,1
2022-05,9,4,< 1,< 1,1
2022-06,6,4,< 1,< 1,1
2022-07,6,4,< 1,< 1,1
2022-08,6,4,< 1,< 1,1
2022-09,12,4,1,< 1,1
2022-10,24,4,1,< 1,1
2022-11,32,4,< 1,< 1,1
2022-12,32,4,< 1,< 1,1
2023-01,13,4,< 1,< 1,1
2023-02,10,4,1,< 1,1
2023-03,8,4,1,< 1,1
2023-04,6,4,1,< 1,1
2023-05,5,4,< 1,< 1,1
2023-06,5,4,< 1,< 1,1
2023-07,4,4,< 1,< 1,1
2023-08,6,4,< 1,< 1,1
2023-09,12,4,1,< 1,1
2023-10,17,4,1,< 1,1
